"Feature_ID","BIOCHEMICAL","name","Metabolite","H_SUPER_PATHWAY","H_SUB_PATHWAY","H_COMP_IDstr","KEGG","H_HMDB","H_MetabolonID"
"Metab60","N6-acetyllysine","N6-acetyllysine","N6-acetyllysine","Amino acid","Lysine Metabolism",36752,"C02727","HMDB00206","M36752"
"Metab61","N2-acetyl,N6-methyllysine","N2-acetyl,N6-methyllysine","N2-acetyl,N6-methyllysine","Amino Acid","Lysine Metabolism",62954,NA,NA,"M62954"
"Metab62","N2-acetyl,N6,N6-dimethyllysine","N2-acetyl,N6,N6-dimethyllysine","N2-acetyl,N6,N6-dimethyllysine","Amino Acid","Lysine Metabolism",63254,NA,NA,"M63254"
"Metab63","N6-methyllysine","N6-methyllysine","N6-methyllysine","Amino Acid","Lysine Metabolism",62860,"C02728","HMDB02038","M62860"
"Metab64","N6,N6,N6-trimethyllysine","N6,N6,N6-trimethyllysine","N-6-trimethyllysine","Amino acid","Lysine Metabolism",1498,"C03793","HMDB01325","M1498"
"Metab65","hydroxy-N6,N6,N6-trimethyllysine*","hydroxy-N6,N6,N6-trimethyllysine*","hydroxy-N6,N6,N6-trimethyllysine","Amino Acid","Lysine Metabolism",62959,NA,NA,"M62959"
"Metab66","5-hydroxylysine","5-hydroxylysine","5-hydroxylysine","Amino Acid","Lysine Metabolism",15685,"C16741","HMDB00450","M15685"
"Metab67","5-(galactosylhydroxy)-L-lysine","5-(galactosylhydroxy)-L-lysine","5-(galactosylhydroxy)-L-lysine","Amino Acid","Lysine Metabolism",43582,NA,NA,"M43582"
"Metab68","fructosyllysine","fructosyllysine","fructosyllysine","Amino Acid","Lysine Metabolism",46227,NA,"HMDB0034879","M46227"
"Metab69","saccharopine","saccharopine","saccharopine","Amino Acid","Lysine Metabolism",1495,"C00449","HMDB00279","M1495"
"Metab70","2-aminoadipate","2-aminoadipate","2-aminoadipate","Amino acid","Lysine Metabolism",6146,"C00956","HMDB00510","M6146"
"Metab71","glutarylcarnitine (C5-DC)","glutarylcarnitine (C5-DC)","glutaroyl carnitine","Amino acid","Lysine Metabolism",35439,NA,"HMDB13130","M35439"
"Metab72","pipecolate","pipecolate","pipecolate","Amino acid","Lysine Metabolism",1444,"C00408","HMDB00070","M1444"
"Metab73","6-oxopiperidine-2-carboxylate","6-oxopiperidine-2-carboxylate","6-oxopiperidine-2-carboxylate","Amino Acid","Lysine Metabolism",43231,NA,"HMDB61705","M43231"
"Metab74","5-aminovalerate","5-aminovalerate","5-aminovalerate","Amino Acid","Lysine Metabolism",18319,"C00431","HMDB03355","M18319"
"Metab75","N,N,N-trimethyl-5-aminovalerate","N,N,N-trimethyl-5-aminovalerate","N,N,N-trimethyl-5-aminovalerate","Amino Acid","Lysine Metabolism",57687,NA,NA,"M57687"
"Metab76","phenylalanine","phenylalanine","phenylalanine","Amino acid","Phenylalanine and Tyrosine Metabolism",64,"C00079","HMDB00159","M64"
"Metab77","N-acetylphenylalanine","N-acetylphenylalanine","N-acetylphenylalanine","Amino Acid","Phenylalanine Metabolism",33950,"C03519","HMDB00512","M33950"
"Metab78","1-carboxyethylphenylalanine","1-carboxyethylphenylalanine","1-carboxyethylphenylalanine","Amino Acid","Phenylalanine Metabolism",62566,NA,NA,"M62566"
"Metab79","phenylpyruvate","phenylpyruvate","phenylpyruvate","Amino acid","Phenylalanine and Tyrosine Metabolism",566,"C00166","HMDB00205","M566"
"Metab80","phenyllactate (PLA)","phenyllactate (PLA)","phenyllactate (PLA)","Amino acid","Phenylalanine and Tyrosine Metabolism",22130,"C05607","HMDB00779","M22130"
"Metab81","tyrosine","tyrosine","tyrosine","Amino acid","Phenylalanine and Tyrosine Metabolism",1299,"C00082","HMDB00158","M1299"
"Metab82","N-acetyltyrosine","N-acetyltyrosine","N-acetyltyrosine","Amino acid","Phenylalanine and Tyrosine Metabolism",32390,NA,"HMDB00866","M32390"
"Metab83","1-carboxyethyltyrosine","1-carboxyethyltyrosine","1-carboxyethyltyrosine","Amino Acid","Tyrosine Metabolism",62564,NA,NA,"M62564"
"Metab84","4-hydroxyphenylpyruvate","4-hydroxyphenylpyruvate","4-hydroxyphenylpyruvate","Amino acid","Phenylalanine and Tyrosine Metabolism",1669,"C01179","HMDB00707","M1669"
"Metab85","3-(4-hydroxyphenyl)lactate (HPLA)","3-(4-hydroxyphenyl)lactate (HPLA)","3-(4-hydroxyphenyl)lactate","Amino acid","Phenylalanine and Tyrosine Metabolism",32197,"C03672","HMDB00755","M32197"
"Metab86","phenol sulfate","phenol sulfate","phenol sulfate","Amino acid","Phenylalanine and Tyrosine Metabolism",32553,"C02180","HMDB0060015","M32553"
"Metab87","vanillactate","vanillactate","vanillactate","Amino Acid","Tyrosine Metabolism",54910,NA,"HMDB0000913","M54910"
"Metab88","vanillylmandelate (VMA)","vanillylmandelate (VMA)","vanillylmandelate (VMA)","Amino acid","Phenylalanine and Tyrosine Metabolism",1567,"C05584","HMDB00291","M1567"
"Metab89","3-methoxytyrosine","3-methoxytyrosine","3-methoxytyrosine","Amino Acid","Tyrosine Metabolism",12017,NA,"HMDB01434","M12017"
"Metab90","3-methoxytyramine sulfate","3-methoxytyramine sulfate","3-methoxytyramine sulfate","Amino Acid","Tyrosine Metabolism",44618,NA,NA,"M44618"
"Metab91","o-Tyrosine","o-Tyrosine","o-Tyrosine","Amino Acid","Tyrosine Metabolism",43392,NA,"HMDB06050","M43392"
"Metab92","dopamine 3-O-sulfate","dopamine 3-O-sulfate","dopamine 3-O-sulfate","Amino Acid","Tyrosine Metabolism",48407,"C13690","HMDB0006275","M48407"
"Metab93","p-cresol glucuronide*","p-cresol glucuronide*","p-cresol glucuronide","Amino Acid","Tyrosine Metabolism",48841,NA,"HMDB11686","M48841"
"Metab94","N-formylphenylalanine","N-formylphenylalanine","N-formylphenylalanine","Amino Acid","Tyrosine Metabolism",48433,NA,"HMDB0240317","M48433"
"Metab95","tryptophan","tryptophan","tryptophan","Amino acid","Tryptophan Metabolism",54,"C00078","HMDB00929","M54"
"Metab96","N-acetyltryptophan","N-acetyltryptophan","N-acetyltryptophan","Amino Acid","Tryptophan Metabolism",33959,"C03137","HMDB13713","M33959"
"Metab97","C-glycosyltryptophan","C-glycosyltryptophan","C-glycosyltryptophan","Amino Acid","Tryptophan Metabolism",48782,NA,NA,"M48782"
"Metab98","tryptophan betaine","tryptophan betaine","tryptophan betaine","Amino Acid","Tryptophan Metabolism",37097,"C09213","HMDB61115","M37097"
"Metab99","N-formylkynurenine","N-formylkynurenine","N-formylkynurenine","Amino Acid","Tryptophan Metabolism",64334,"C02700","HMDB01200","M64334"
"Metab100","kynurenine","kynurenine","kynurenine","Amino acid","Tryptophan Metabolism",15140,"C00328","HMDB00684","M15140"
"Metab101","N-acetylkynurenine (2)","N-acetylkynurenine (2)","N-acetylkynurenine (2)","Amino Acid","Tryptophan Metabolism",48757,NA,NA,"M48757"
"Metab102","kynurenate","kynurenate","kynurenate","Amino Acid","Tryptophan Metabolism",1417,"C01717","HMDB00715","M1417"
"Metab104","indolelactate","indolelactate","indolelactate",NA,NA,18349,"C02043","HMDB00671","M18349"
"Metab105","indoleacetate","indoleacetate","indoleacetate","Amino Acid","Tryptophan Metabolism",27513,"C00954","HMDB00197","M27513"
"Metab106","indolepropionate","indolepropionate","indolepropionate","Amino Acid","Tryptophan Metabolism",32405,NA,"HMDB02302","M32405"
"Metab109","3-indoxyl sulfate","3-indoxyl sulfate","3-indoxyl sulfate","Amino acid","Tryptophan Metabolism",27672,NA,"HMDB00682","M27672"
"Metab110","leucine","leucine","leucine","Amino acid","Valine, leucine and isoleucine metabolism",60,"C00123","HMDB00687","M60"
"Metab111","N-acetylleucine","N-acetylleucine","N-acetylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1587,"C02710","HMDB11756","M1587"
"Metab112","1-carboxyethylleucine","1-carboxyethylleucine","1-carboxyethylleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",62559,NA,NA,"M62559"
"Metab113","4-methyl-2-oxopentanoate","4-methyl-2-oxopentanoate","4-methyl-2-oxopentanoate","Amino acid","Valine, leucine and isoleucine metabolism",22116,"C00233","HMDB00695","M22116"
"Metab114","alpha-hydroxyisocaproate","alpha-hydroxyisocaproate","alpha-hydroxyisocaproate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",22132,"C03264","HMDB0000665","M22132"
"Metab115","isovalerate (C5)","isovalerate (C5)","isovalerate (C5)","Amino Acid","Leucine, Isoleucine and Valine Metabolism",44656,"C08262","HMDB0000718","M44656"
"Metab116","isovalerylglycine","isovalerylglycine","isovalerylglycine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",35107,NA,"HMDB00678","M35107"
"Metab117","isovalerylcarnitine (C5)","isovalerylcarnitine (C5)","isovalerylcarnitine","Amino acid","Valine, leucine and isoleucine metabolism",34407,"C20826","HMDB00688","M34407"
"Metab118","beta-hydroxyisovalerate","beta-hydroxyisovalerate","beta-hydroxyisovalerate","Amino acid","Valine, leucine and isoleucine metabolism",12129,NA,"HMDB00754","M12129"
"Metab119","beta-hydroxyisovaleroylcarnitine","beta-hydroxyisovaleroylcarnitine","beta-hydroxyisovaleroylcarnitine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",35433,NA,NA,"M35433"
"Metab120","3-methylglutaconate","3-methylglutaconate","3-methylglutaconate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",57747,NA,"HMDB00522","M57747"
"Metab121","3-methylglutarylcarnitine (2)","3-methylglutarylcarnitine (2)","3-methylglutarylcarnitine (2)","Amino Acid","Leucine, Isoleucine and Valine Metabolism",46548,NA,"HMDB00552","M46548"
"Metab122","isoleucine","isoleucine","isoleucine","Amino acid","Valine, leucine and isoleucine metabolism",1125,"C00407","HMDB00172","M1125"
"Metab123","N-acetylisoleucine","N-acetylisoleucine","N-acetylisoleucine","Amino acid","Valine, leucine and isoleucine metabolism",33967,NA,NA,"M33967"
"Metab124","1-carboxyethylisoleucine","1-carboxyethylisoleucine","1-carboxyethylisoleucine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",62558,NA,NA,"M62558"
"Metab125","3-methyl-2-oxovalerate","3-methyl-2-oxovalerate","3-methyl-2-oxovalerate","Amino acid","Valine, leucine and isoleucine metabolism",15676,"C00671","HMDB03736","M15676"
"Metab126","2-hydroxy-3-methylvalerate","2-hydroxy-3-methylvalerate","2-hydroxy-3-methylvalerate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",36746,NA,"HMDB0000317","M36746"
"Metab127","2-methylbutyrylcarnitine (C5)","2-methylbutyrylcarnitine (C5)","2-methylbutyroylcarnitine","Amino acid","Valine, leucine and isoleucine metabolism",35431,NA,"HMDB00378","M35431"
"Metab128","tiglyl carnitine (C5)","tiglyl carnitine (C5)","tiglylcarnitine (C5:1-DC)","Amino Acid","Leucine, Isoleucine and Valine Metabolism",35428,NA,"HMDB02366","M35428"
"Metab129","3-hydroxy-2-ethylpropionate","3-hydroxy-2-ethylpropionate","3-hydroxy-2-ethylpropionate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",32397,NA,"HMDB00396","M32397"
"Metab130","ethylmalonate","ethylmalonate","ethylmalonate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",15765,NA,"HMDB00622","M15765"
"Metab131","methylsuccinate","methylsuccinate","methylsuccinate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",15745,NA,"HMDB01844","M15745"
"Metab132","methylsuccinoylcarnitine","methylsuccinoylcarnitine","methylsuccinoylcarnitine","Amino Acid","Leucine, Isoleucine and Valine Metabolism",53031,NA,NA,"M53031"
"Metab133","valine","valine","valine","Amino acid","Valine, leucine and isoleucine metabolism",1649,"C00183","HMDB00883","M1649"
"Metab134","N-acetylvaline","N-acetylvaline","N-acetylvaline","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1591,NA,"HMDB11757","M1591"
"Metab135","1-carboxyethylvaline","1-carboxyethylvaline","1-carboxyethylvaline","Amino Acid","Leucine, Isoleucine and Valine Metabolism",62562,NA,NA,"M62562"
"Metab136","3-methyl-2-oxobutyrate","3-methyl-2-oxobutyrate","3-methyl-2-oxobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",44526,"C00141","HMDB00019","M44526"
"Metab137","alpha-hydroxyisovalerate","alpha-hydroxyisovalerate","alpha-hydroxyisovalerate","Amino acid","Valine, leucine and isoleucine metabolism",33937,NA,"HMDB00407","M33937"
"Metab138","isobutyrylcarnitine (C4)","isobutyrylcarnitine (C4)","isobutyrylcarnitine","Amino acid","Valine, leucine and isoleucine metabolism",33441,NA,"HMDB00736","M33441"
"Metab139","3-hydroxyisobutyrate","3-hydroxyisobutyrate","3-hydroxyisobutyrate","Amino Acid","Leucine, Isoleucine and Valine Metabolism",1549,"C06001","HMDB00336","M1549"
"Metab140","methionine","methionine","methionine","Amino acid","Cysteine, methionine, SAM, taurine metabolism",1302,"C00073","HMDB00696","M1302"
"Metab141","N-acetylmethionine","N-acetylmethionine","N-acetylmethionine","Amino acid","Cysteine, methionine, SAM, taurine metabolism",1589,"C02712","HMDB11745","M1589"
"Metab142","N-formylmethionine","N-formylmethionine","N-formylmethionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",2829,"C03145","HMDB01015","M2829"
"Metab144","methionine sulfone","methionine sulfone","methionine sulfone","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",44878,NA,NA,"M44878"
"Metab145","methionine sulfoxide","methionine sulfoxide","methionine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",18374,"C02989","HMDB02005","M18374"
"Metab146","N-acetylmethionine sulfoxide","N-acetylmethionine sulfoxide","N-acetylmethionine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",45428,NA,NA,"M45428"
"Metab147","S-adenosylmethionine (SAM)","S-adenosylmethionine (SAM)","S-adenosylmethionine (SAM)","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",15915,"C00019","HMDB01185","M15915"
"Metab148","S-adenosylhomocysteine (SAH)","S-adenosylhomocysteine (SAH)","S-adenosylhomocysteine (SAH)","Amino acid","Cysteine, methionine, SAM, taurine metabolism",15948,"C00021","HMDB00939","M15948"
"Metab149","5-methylthioribose","5-methylthioribose","5-methylthioribose","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",62100,NA,"HMDB01087","M62100"
"Metab150","2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*","2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*","2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",62805,NA,"HMDB0240388","M62805"
"Metab151","cystathionine","cystathionine","cystathionine","Amino acid","Cysteine, methionine, SAM, taurine metabolism",15705,"C02291","HMDB00099","M15705"
"Metab152","cysteine","cysteine","cysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",1868,"C00097","HMDB0000574","M1868"
"Metab153","N-acetylcysteine","N-acetylcysteine","N-acetylcysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",1586,"C06809","HMDB01890","M1586"
"Metab154","S-methylcysteine","S-methylcysteine","S-methylcysteine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",40262,NA,"HMDB02108","M40262"
"Metab155","S-methylcysteine sulfoxide","S-methylcysteine sulfoxide","S-methylcysteine sulfoxide","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",43378,NA,"HMDB29432","M43378"
"Metab156","cysteine s-sulfate","cysteine s-sulfate","cysteine s-sulfate","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",22176,"C05824","HMDB00731","M22176"
"Metab157","cystine","cystine","cystine","Amino acid","Cysteine, methionine, SAM, taurine metabolism",39512,"C00491","HMDB00192","M39512"
"Metab158","lanthionine","lanthionine","lanthionine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",42002,NA,NA,"M42002"
"Metab159","cysteine sulfinic acid","cysteine sulfinic acid","cysteine sulfinic acid","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",37443,"C00606","HMDB00996","M37443"
"Metab160","hypotaurine","hypotaurine","hypotaurine","Amino acid","Cysteine, methionine, SAM, taurine metabolism",590,"C00519","HMDB00965","M590"
"Metab161","taurine","taurine","taurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",2125,"C00245","HMDB00251","M2125"
"Metab162","N-acetyltaurine","N-acetyltaurine","N-acetyltaurine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",48187,NA,NA,"M48187"
"Metab163","taurocyamine","taurocyamine","taurocyamine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",35117,"C01959","HMDB0003584","M35117"
"Metab164","3-sulfo-L-alanine","3-sulfo-L-alanine","3-sulfo-L-alanine","Amino Acid","Methionine, Cysteine, SAM and Taurine Metabolism",47089,"C00506","HMDB02757","M47089"
"Metab165","arginine","arginine","arginine","Amino acid","Urea cycle; Arginine and Proline Metabolism",1638,"C00062","HMDB00517","M1638"
"Metab166","argininosuccinate","argininosuccinate","argininosuccinate","Amino Acid","Urea cycle; Arginine and Proline Metabolism",15497,"C03406","HMDB00052","M15497"
"Metab167","urea","urea","urea","Amino Acid","Urea cycle; Arginine and Proline Metabolism",1670,"C00086","HMDB00294","M1670"
"Metab168","ornithine","ornithine","ornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",1493,"C00077","HMDB03374","M1493"
"Metab169","3-amino-2-piperidone","3-amino-2-piperidone","3-amino-2-piperidone","Amino Acid","Urea cycle; Arginine and Proline Metabolism",62853,NA,"HMDB00323","M62853"
"Metab170","2-oxoarginine*","2-oxoarginine*","2-oxoarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",55072,"C03771","HMDB04225","M55072"
"Metab171","citrulline","citrulline","citrulline","Amino acid","Urea cycle; Arginine and Proline Metabolism",2132,"C00327","HMDB00904","M2132"
"Metab172","homoarginine","homoarginine","homoarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",22137,"C01924","HMDB00670","M22137"
"Metab173","homocitrulline","homocitrulline","homocitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",22138,"C02427","HMDB00679","M22138"
"Metab174","proline","proline","proline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",1898,"C00148","HMDB00162","M1898"
"Metab175","dimethylarginine (ADMA + SDMA)","dimethylarginine (ADMA + SDMA)","dimethylarginine (SDMA + ADMA)","Amino Acid","Urea cycle; Arginine and Proline Metabolism",36808,"C03626","HMDB01539","M36808"
"Metab176","N-acetylarginine","N-acetylarginine","N-acetylarginine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",33953,"C02562","HMDB04620","M33953"
"Metab177","N-acetylcitrulline","N-acetylcitrulline","N-acetylcitrulline","Amino Acid","Urea cycle; Arginine and Proline Metabolism",48434,"C15532","HMDB0000856","M48434"
"Metab179","N-delta-acetylornithine","N-delta-acetylornithine","N-delta-acetylornithine","Amino Acid","Urea cycle; Arginine and Proline Metabolism",43249,"C00437","HMDB0003357","M43249"
