"","feature","cluster","col","feature_name","feature_map","enriched_Term","enriched_Overlap","enriched_Genes","enriched_P.value","enriched_Adjusted.P.value","enriched_GO"
"20","AARD","cluster_000018","#C42C38","AARD","AARD","Vasoconstriction ","2/9","EDN1;EDN2",0.000160994001630338,0.0233619870285999,"GO:0042310"
"21","AARS1","cluster_000231","#6E8372","AARS1","AARS1","Negative Regulation Of Osteoblast Proliferation ","2/7","SFRP1;PLXNB1",3.39886991690106e-05,0.0104345306448862,"GO:0033689"
"22","AARS2","cluster_000115","#3B88A0","AARS2","AARS2","[2Fe-2S] Cluster Assembly ","3/9","NFS1;GLRX5;FXN",2.81417091402286e-07,4.30568149845498e-05,"GO:0044571"
"23","AASDH","cluster_000035","#A53E54","AASDH","AASDH","Histone H4-K5 Acetylation ","2/15","JADE3;OGT",0.000402820303489047,0.0375965616589777,"GO:0043981"
"24","AASDHPPT","cluster_000339","#D56B41","AASDHPPT","AASDHPPT","cAMP-mediated Signaling ","2/26","PDE7B;RAPGEF3",0.00040428492626814,0.0671112977605112,"GO:0019933"
"25","AASS","cluster_000307","#B25A78","AASS","AASS","Negative Regulation Of Relaxation Of Muscle ","1/5","PDE4D",0.00573728911332865,0.0774012317250718,"GO:1901078"
"26","AATBC","cluster_000636","#E3769B","AATBC","AATBC","Positive Regulation Of Fibroblast Proliferation ","2/28","SPHK1;FN1",0.000196229365545709,0.0335552215083162,"GO:0048146"
"27","AATF","cluster_000056","#7E5477","AATF","AATF","mRNA Transport ","3/58","XPO1;NUP85;THOC3",0.000154383359241438,0.0168998885591137,"GO:0051028"
"28","AATK","cluster_000130","#3F908E","AATK","AATK","Isoprenoid Biosynthetic Process ","2/8","MVD;PDSS1",6.05600788972395e-05,0.006449648402556,"GO:0008299"
"29","ABAT","cluster_000254","#816B87","ABAT","ABAT","Medium-Chain Fatty Acid Metabolic Process ","2/14","CYP4Z1;CYP4A22",0.00013525136020906,0.0170416713863416,"GO:0051791"
"30","ABCA1","cluster_000323","#C4635C","ABCA1","ABCA1","Regulation Of Collateral Sprouting ","2/7","PTPRS;ULK2",2.64720697795306e-05,0.00497674911855175,"GO:0048670"
"31","ABCA10","cluster_000477","#F8F332","ABCA10","ABCA10","Cytoplasmic Translation ","5/93","EIF3M;RPL32;RPL14;RPSA;RPL29",2.15337992097062e-08,4.37136123957036e-06,"GO:0002181"
"32","ABCA11P","cluster_000342","#D96C3B","ABCA11P","ABCA11P","Proteasome-Mediated Ubiquitin-Dependent Protein Catabolic Process ","3/319","PSMB3;PSMA7;ANAPC11",0.00561916422403859,0.0979568098365482,"GO:0043161"
"33","ABCA12","cluster_000680","#E186B6","ABCA12","ABCA12","Protein Maturation ","2/117","CASP10;PHEX",0.00253736871444115,0.0663041748491649,"GO:0051604"
"34","ABCA13","cluster_000029","#B0374A","ABCA13","ABCA13","Axonogenesis ","4/188","PARD6B;KIF5A;L1CAM;IGSF9",0.000530415741016459,0.0695187087518509,"GO:0007409"
"35","ABCA17P","cluster_000111","#3A86A5","ABCA17P","ABCA17P","Retinoid Metabolic Process ","2/40","AKR1B1;DHRS4L2",0.0017482077236045,0.109480646845711,"GO:0001523"
"36","ABCA2","cluster_000028","#B23648","ABCA2","ABCA2","Regulation Of Protein-Containing Complex Assembly ","3/119","ICE1;VPS41;SPIDR",0.00199082286978115,0.132838466831199,"GO:0043254"
"37","ABCA3","cluster_000325","#C66459","ABCA3","ABCA3","Regulation Of Erythrocyte Differentiation ","2/36","BRD1;ZFPM1",0.000778233041829147,0.0706736737162541,"GO:0045646"
"38","ABCA4","cluster_000029","#B0374A","ABCA4","ABCA4","Axonogenesis ","4/188","PARD6B;KIF5A;L1CAM;IGSF9",0.000530415741016459,0.0695187087518509,"GO:0007409"
"39","ABCA5","cluster_000283","#984EA2","ABCA5","ABCA5","Telomere Maintenance Via Telomerase ","2/19","TERT;DKC1",0.000233060075995262,0.0200431665355925,"GO:0007004"
"40","ABCA6","cluster_000477","#F8F332","ABCA6","ABCA6","Cytoplasmic Translation ","5/93","EIF3M;RPL32;RPL14;RPSA;RPL29",2.15337992097062e-08,4.37136123957036e-06,"GO:0002181"
"41","ABCA7","cluster_000255","#816A88","ABCA7","ABCA7","Medium-Chain Fatty Acid Metabolic Process ","2/14","CYP4Z1;CYP4A22",0.00013525136020906,0.0170416713863416,"GO:0051791"
"42","ABCA8","cluster_000477","#F8F332","ABCA8","ABCA8","Cytoplasmic Translation ","5/93","EIF3M;RPL32;RPL14;RPSA;RPL29",2.15337992097062e-08,4.37136123957036e-06,"GO:0002181"
"43","ABCA9","cluster_000477","#F8F332","ABCA9","ABCA9","Cytoplasmic Translation ","5/93","EIF3M;RPL32;RPL14;RPSA;RPL29",2.15337992097062e-08,4.37136123957036e-06,"GO:0002181"
"44","ABCB1","cluster_000065","#6E5E86","ABCB1","ABCB1","Cilium Assembly ","12/243","DYNC2H1;IFT88;IFT140;IFT81;DNAAF1;TCTN1;WDR19;BBS9;CFAP46;CFAP43;WDR35;ENKD1",5.1351322748735e-15,6.77837460283301e-13,"GO:0060271"
"45","ABCB10","cluster_000317","#BD5F67","ABCB10","ABCB10","Xenobiotic Transport Across Blood-Brain Barrier ","1/5","SLC22A2",0.00573728911332865,0.0794424034477794,"GO:1990962"
"46","ABCB4","cluster_000439","#FFD421","ABCB4","ABCB4","Cellular Response To Sterol ","2/15","INSIG2;RORA",9.89757503698104e-05,0.0252388163443016,"GO:0036315"
"47","ABCB5","cluster_000022","#BD303E","ABCB5","ABCB5","Proteolysis ","6/330","CPA3;CPB1;KEL;MMP2;CTSG;TPSAB1",6.13030967013233e-05,0.00881343049011832,"GO:0006508"
"48","ABCB6","cluster_000553","#B06A29","ABCB6","ABCB6","Organelle Fission ","2/22","MTFP1;PEX11A",0.000155518877333677,0.0270602846560598,"GO:0048285"
"49","ABCB7","cluster_000091","#3E79B1","ABCB7","ABCB7","Chromatin Remodeling ","4/228","INO80E;CHD2;EZH1;BPTF",0.000519221290326432,0.0464471119041021,"GO:0006338"
"50","ABCB8","cluster_000139","#419584","ABCB8","ABCB8","Peroxisome Fission ","2/8","PEX19;PEX11B",6.05600788972395e-05,0.0136865778307761,"GO:0016559"
"51","ABCB9","cluster_000194","#51A94E","ABCB9","ABCB9","Inflammatory Response ","4/236","CD40LG;CCR2;KLRG1;PTGDR",0.000267942856639939,0.0302816841969644,"GO:0006954"
"52","ABCC1","cluster_000629","#DD7390","ABCC1","ABCC1","Glycine Metabolic Process ","2/7","SHMT1;GLYAT",1.1000996562012e-05,0.00100432536897257,"GO:0006544"
"53","ABCC10","cluster_000011","#D1242C","ABCC10","ABCC10","DNA-templated DNA Replication Maintenance Of Fidelity ","4/43","MCM9;ATRX;THOC1;ASF1A",3.36366566511097e-06,0.000696278792677971,"GO:0045005"
"54","ABCC2","cluster_000288","#9D5099","ABCC2","ABCC2","Epithelial To Mesenchymal Transition ","2/47","FOXF2;HGF",0.00144343149625669,0.116854309903876,"GO:0001837"
"55","ABCC3","cluster_000532","#C4902B","ABCC3","ABCC3","T Cell Activation ","3/111","NCK2;PIK3CD;NLRC3",0.000127759314394348,0.0333451810569247,"GO:0042110"
"56","ABCC4","cluster_000379","#FF8201","ABCC4","ABCC4","Protein Localization To Non-Motile Cilium ","1/5","SPATA7",0.00523943997247116,0.0715302543700838,"GO:0097499"
"57","ABCC5","cluster_000114","#3B87A1","ABCC5","ABCC5","[2Fe-2S] Cluster Assembly ","3/9","NFS1;GLRX5;FXN",2.81417091402286e-07,4.30568149845498e-05,"GO:0044571"
"58","ABCC6","cluster_000654","#F37FB8","ABCC6","ABCC6","Androgen Biosynthetic Process ","2/8","HSD3B2;SRD5A2",1.27093161835202e-05,0.000775268287194735,"GO:0006702"
"59","ABCC6P1","cluster_000654","#F37FB8","ABCC6P1","ABCC6P1","Androgen Biosynthetic Process ","2/8","HSD3B2;SRD5A2",1.27093161835202e-05,0.000775268287194735,"GO:0006702"
"60","ABCC6P2","cluster_000654","#F37FB8","ABCC6P2","ABCC6P2","Androgen Biosynthetic Process ","2/8","HSD3B2;SRD5A2",1.27093161835202e-05,0.000775268287194735,"GO:0006702"
"61","ABCC8","cluster_000012","#CF252E","ABCC8","ABCC8","DNA-templated DNA Replication Maintenance Of Fidelity ","4/43","MCM9;ATRX;THOC1;ASF1A",3.36366566511097e-06,0.000696278792677971,"GO:0045005"
"62","ABCC9","cluster_000426","#FFC21A","ABCC9","ABCC9","Cellular Response To Organic Substance ","3/82","SYK;IL18;AKAP6",7.20061549773837e-05,0.00910147274714014,"GO:0071310"
"63","ABCD1","cluster_000287","#9C509B","ABCD1","ABCD1","Epithelial To Mesenchymal Transition ","2/47","FOXF2;HGF",0.00144343149625669,0.116854309903876,"GO:0001837"
"64","ABCD2","cluster_000291","#A15294","ABCD2","ABCD2","Aerobic Electron Transport Chain ","10/68","COX8A;NDUFB7;NDUFS8;NDUFA3;NDUFA1;NDUFS3;NDUFAF1;NDUFV2;NDUFV1;COX6B1",1.95007829237826e-19,1.28880923951294e-17,"GO:0019646"
"65","ABCD3","cluster_000319","#BF6063","ABCD3","ABCD3","Xenobiotic Transport Across Blood-Brain Barrier ","1/5","SLC22A2",0.00573728911332865,0.0794424034477794,"GO:1990962"
"66","ABCD4","cluster_000365","#F27813","ABCD4","ABCD4","tRNA Aminoacylation ","3/22","HARS1;RARS1;LARS1",1.75488820673873e-06,0.000447496492718376,"GO:0043039"
"67","ABCE1","cluster_000135","#409288","ABCE1","ABCE1","Peptidyl-Tyrosine Phosphorylation ","3/67","ABI2;FLT3;CLK2",0.000136735290542393,0.0273470581084787,"GO:0018108"
"68","ABCF1","cluster_000271","#8E5A97","ABCF1","ABCF1","Endosome To Lysosome Transport Via Multivesicular Body Sorting Pathway ","2/15","CHMP2A;UBXN6",0.000155939872973347,0.0244825600568154,"GO:0032510"
"69","ABCF2","cluster_000642","#E979A5","ABCF2","ABCF2","Positive Regulation Of Peptidyl-Tyrosine Phosphorylation ","3/130","FGF7;ANGPT1;GAS6",0.000115310179205606,0.0244457579915884,"GO:0050731"
"70","ABCF3","cluster_000701","#CC8BAD","ABCF3","ABCF3","Fatty Acid Biosynthetic Process ","2/65","GSTM4;MCAT",0.000792695643797859,0.0428627996865194,"GO:0006633"
"71","ABCG1","cluster_000323","#C4635C","ABCG1","ABCG1","Regulation Of Collateral Sprouting ","2/7","PTPRS;ULK2",2.64720697795306e-05,0.00497674911855175,"GO:0048670"
"72","ABCG2","cluster_000436","#FFD020","ABCG2","ABCG2","Lipoprotein Transport ","2/11","PPARG;CD36",5.19687158339542e-05,0.0100031873807011,"GO:0042953"
"73","ABCG8","cluster_000292","#A25292","ABCG8","ABCG8","Aerobic Electron Transport Chain ","10/68","COX8A;NDUFB7;NDUFS8;NDUFA3;NDUFA1;NDUFS3;NDUFAF1;NDUFV2;NDUFV1;COX6B1",1.95007829237826e-19,1.28880923951294e-17,"GO:0019646"
"74","ABHD1","cluster_000164","#47A267","ABHD1","ABHD1","Negative Regulation Of Regulated Secretory Pathway ","2/8","REST;STXBP3",5.6534016206558e-05,0.0113633372575182,"GO:1903306"
"75","ABHD10","cluster_000032","#AA3B4F","ABHD10","ABHD10","Axonogenesis ","4/188","PARD6B;KIF5A;L1CAM;IGSF9",0.000530415741016459,0.0695187087518509,"GO:0007409"
"76","ABHD11","cluster_000703","#CA8CAC","ABHD11","ABHD11","Positive Regulation Of Hemoglobin Biosynthetic Process ","1/5","SLC25A37",0.00299665302989365,0.0583706773258032,"GO:0046985"
"77","ABHD11-AS1","cluster_000264","#896191","ABHD11-AS1","ABHD11-AS1","Mesenchyme Morphogenesis ","2/18","ADAMTS5;HEYL",0.000226705510857655,0.0286543040152311,"GO:0072132"
"78","ABHD12","cluster_000459","#FFEF2C","ABHD12","ABHD12","Membrane Lipid Catabolic Process ","2/8","PPT1;NAGA",2.65043002514317e-05,0.00620200625883502,"GO:0046466"
"79","ABHD12B","cluster_000161","#46A06A","ABHD12B","ABHD12B","Translational Termination ","2/8","APEH;GSPT1",5.6534016206558e-05,0.00660854403294678,"GO:0006415"
"80","ABHD13","cluster_000036","#A33F56","ABHD13","ABHD13","Peptidyl-Serine Autophosphorylation ","2/7","PIKFYVE;RIPK1",7.73269914875204e-05,0.0283016788844324,"GO:0036289"
"81","ABHD14A","cluster_000413","#FFB013","ABHD14A","ABHD14A","Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Independent Decay ","1/6","DCP1B",0.00628419133253944,0.0691288167448749,"GO:0031086"
"82","ABHD14B","cluster_000511","#D8B52E","ABHD14B","ABHD14B","Protein Modification By Small Protein Conjugation Or Removal ","1/5","DESI1",0.00449229270839297,0.0673252092853559,"GO:0070647"
"83","ABHD15","cluster_000235","#717F75","ABHD15","ABHD15","Ubiquitin-Dependent Protein Catabolic Process ","4/367","KLHDC3;ZNRF2;GID4;KCTD21",0.00121135994953888,0.0736156723585353,"GO:0006511"
"84","ABHD16A","cluster_000024","#B93242","ABHD16A","ABHD16A","Proteolysis ","6/330","CPA3;CPB1;KEL;MMP2;CTSG;TPSAB1",6.13030967013233e-05,0.00881343049011832,"GO:0006508"
"85","ABHD16B","cluster_000013","#CD262F","ABHD16B","ABHD16B","DNA-templated DNA Replication Maintenance Of Fidelity ","4/43","MCM9;ATRX;THOC1;ASF1A",3.36366566511097e-06,0.000696278792677971,"GO:0045005"
"86","ABHD17A","cluster_000109","#3A85A7","ABHD17A","ABHD17A","Negative Regulation Of Microtubule Depolymerization ","2/20","KATNB1;ARHGEF2",0.000434140102652416,0.0521419304876993,"GO:0007026"
"87","ABHD17B","cluster_000437","#FFD120","ABHD17B","ABHD17B","Lipoprotein Transport ","2/11","PPARG;CD36",5.19687158339542e-05,0.0100031873807011,"GO:0042953"
"88","ABHD17C","cluster_000227","#6B876E","ABHD17C","ABHD17C","Positive Regulation Of Proteasomal Ubiquitin-Dependent Protein Catabolic Process ","3/83","RNF180;TRIB2;SMAD7",0.000167242631352187,0.0194839904821112,"GO:0032436"
"89","ABHD18","cluster_000265","#896092","ABHD18","ABHD18","Mesenchyme Morphogenesis ","2/18","ADAMTS5;HEYL",0.000226705510857655,0.0286543040152311,"GO:0072132"
"90","ABHD2","cluster_000692","#D589B1","ABHD2","ABHD2","Ribonucleoside Bisphosphate Metabolic Process ","2/25","ACOT6;ACOT4",0.000116018486046081,0.00556888733021187,"GO:0033875"
"91","ABHD3","cluster_000423","#FFBE19","ABHD3","ABHD3","Cellular Response To Organic Substance ","3/82","SYK;IL18;AKAP6",7.20061549773837e-05,0.00910147274714014,"GO:0071310"
"92","ABHD4","cluster_000579","#B25C3F","ABHD4","ABHD4","Sphingosine-1-Phosphate Receptor Signaling Pathway ","1/8","SPNS2",0.00678090602009761,0.0709157828922053,"GO:0003376"
"93","ABHD5","cluster_000449","#FFE127","ABHD5","ABHD5","Neutrophil Degranulation ","1/5","STXBP2",0.00499044069595166,0.0629079443648236,"GO:0043312"
"94","ABHD6","cluster_000191","#4EAC4C","ABHD6","ABHD6","Regulation Of Neutrophil Migration ","2/8","MPP1;SLAMF8",5.26456172967687e-05,0.0163481856979941,"GO:1902622"
"95","ABHD8","cluster_000609","#CC6A6F","ABHD8","ABHD8","L-ascorbic Acid Metabolic Process ","1/5","GSTO2",0.00399394544865564,0.0483295193935911,"GO:0019852"
"96","ABI1","cluster_000034","#A73D52","ABI1","ABI1","Histone H4-K5 Acetylation ","2/15","JADE3;OGT",0.000402820303489047,0.0375965616589777,"GO:0043981"
"97","ABI2","cluster_000134","#40928A","ABI2","ABI2","Peptidyl-Tyrosine Phosphorylation ","3/67","ABI2;FLT3;CLK2",0.000136735290542393,0.0273470581084787,"GO:0018108"
"98","ABI3","cluster_000350","#E1712E","ABI3","ABI3","Negative Regulation Of T Cell Differentiation In Thymus ","1/5","TMEM131L",0.00548838944332051,0.0789086497116852,"GO:0033085"
"99","ABI3BP","cluster_000367","#F47A10","ABI3BP","ABI3BP","Ribosomal Small Subunit Biogenesis ","2/84","WDR36;RIOK2",0.00381256561631653,0.0946903796540223,"GO:0042274"
"100","ABITRAM","cluster_000059","#79577C","ABITRAM","ABITRAM","mRNA Transport ","3/58","XPO1;NUP85;THOC3",0.000154383359241438,0.0168998885591137,"GO:0051028"
"101","ABL1","cluster_000308","#B35B76","ABL1","ABL1","Negative Regulation Of Relaxation Of Muscle ","1/5","PDE4D",0.00573728911332865,0.0774012317250718,"GO:1901078"
"102","ABL2","cluster_000308","#B35B76","ABL2","ABL2","Negative Regulation Of Relaxation Of Muscle ","1/5","PDE4D",0.00573728911332865,0.0774012317250718,"GO:1901078"
"103","ABLIM1","cluster_000285","#9A4F9E","ABLIM1","ABLIM1","Telomere Maintenance Via Telomerase ","2/19","TERT;DKC1",0.000233060075995262,0.0200431665355925,"GO:0007004"
"104","ABLIM2","cluster_000640","#E778A1","ABLIM2","ABLIM2","Positive Regulation Of Peptidyl-Tyrosine Phosphorylation ","3/130","FGF7;ANGPT1;GAS6",0.000115310179205606,0.0244457579915884,"GO:0050731"
"105","ABLIM3","cluster_000553","#B06A29","ABLIM3","ABLIM3","Organelle Fission ","2/22","MTFP1;PEX11A",0.000155518877333677,0.0270602846560598,"GO:0048285"
"106","ABO","cluster_000583","#B65E46","ABO","ABO","Regulation Of Glomerular Filtration ","2/5","PDGFB;F2RL1",6.78968474771753e-06,0.00212517132603559,"GO:0003093"
"107","ABR","cluster_000568","#A9572E","ABR","ABR","Cellular Response To Osmotic Stress ","2/28","WNK3;AQP5",0.000253724283258192,0.0188397290824134,"GO:0071470"
"108","ABRACL","cluster_000484","#F2E631","ABRACL","ABRACL","Granulocyte Migration ","2/9","GP2;UMOD",3.06580619199429e-05,0.00741925098462618,"GO:0097530"
"109","ABRAXAS1","cluster_000213","#609560","ABRAXAS1","ABRAXAS1","Chromatin Organization ","5/268","SMARCE1;HMGN4;DAXX;DEK;SPTY2D1",2.63912719528664e-05,0.00683533943579239,"GO:0006325"
"110","ABRAXAS2","cluster_000187","#4CAE4C","ABRAXAS2","ABRAXAS2","Mitotic Sister Chromatid Segregation ","6/111","DSN1;PSRC1;NCAPG2;NCAPD2;SPDL1;SMC2",8.69538983159478e-09,1.94776732227723e-06,"GO:0000070"
"111","ABT1","cluster_000212","#5F9660","ABT1","ABT1","Chromatin Organization ","5/268","SMARCE1;HMGN4;DAXX;DEK;SPTY2D1",2.63912719528664e-05,0.00683533943579239,"GO:0006325"
"112","ABTB1","cluster_000544","#B97A2A","ABTB1","ABTB1","Negative Regulation Of Execution Phase Of Apoptosis ","2/19","MTRNR2L8;MTRNR2L2",0.000115296872353532,0.0104880576912313,"GO:1900118"
"113","ABTB2","cluster_000506","#DDBE2E","ABTB2","ABTB2","Vocal Learning ","1/5","HTT",0.00474139160939957,0.0953152298399309,"GO:0042297"
"114","ACAA1","cluster_000543","#BA7C2A","ACAA1","ACAA1","Negative Regulation Of Execution Phase Of Apoptosis ","2/19","MTRNR2L8;MTRNR2L2",0.000115296872353532,0.0104880576912313,"GO:1900118"
"115","ACAA2","cluster_000128","#3E8F91","ACAA2","ACAA2","DNA Integrity Checkpoint Signaling ","3/42","TIPRL;INTS7;DNA2",3.71526678014256e-05,0.0059444268482281,"GO:0031570"
"116","ACACA","cluster_000491","#EBD930","ACACA","ACACA","Negative Regulation Of Sequestering Of Calcium Ion ","2/36","ITPR1;PLCE1",0.000528384897738317,0.066385710159762,"GO:0051283"
"117","ACACB","cluster_000336","#D26946","ACACB","ACACB","cAMP-mediated Signaling ","2/26","PDE7B;RAPGEF3",0.00040428492626814,0.0671112977605112,"GO:0019933"
"118","ACAD10","cluster_000430","#FFC71D","ACAD10","ACAD10","Mitochondrial Gene Expression ","6/103","MRPL27;MRPS18B;MRPS18A;MRPL45;MRPL10;TEFM",5.88472898651408e-10,1.07102067554556e-07,"GO:0140053"
"119","ACAD11","cluster_000347","#DE6F33","ACAD11","ACAD11","Positive Regulation Of Cell Death ","2/50","MAPT;PRODH",0.001370383663162,0.0783464957475828,"GO:0010942"
"120","ACAD8","cluster_000141","#419681","ACAD8","ACAD8","Peroxisome Fission ","2/8","PEX19;PEX11B",6.05600788972395e-05,0.0136865778307761,"GO:0016559"
"121","ACAD9","cluster_000495","#E7D230","ACAD9","ACAD9","Axonogenesis ","4/188","FEZ1;MAP1B;MAP1A;GLI2",2.62429515923753e-05,0.00852895926752197,"GO:0007409"
"122","ACADL","cluster_000283","#984EA2","ACADL","ACADL","Telomere Maintenance Via Telomerase ","2/19","TERT;DKC1",0.000233060075995262,0.0200431665355925,"GO:0007004"
"123","ACADM","cluster_000007","#D82025","ACADM","ACADM","Mesodermal Cell Differentiation ","3/8","ITGA3;ITGB3;HMGA2",8.16016795092252e-07,0.000326406718036901,"GO:0048333"
"124","ACADS","cluster_000328","#C96554","ACADS","ACADS","Oxidative Phosphorylation ","4/63","NDUFA9;NDUFA6;ATP5F1B;UQCRC2",7.56623874058933e-07,0.000131652554086254,"GO:0006119"
"125","ACADSB","cluster_000458","#FFEE2C","ACADSB","ACADSB","Regulation Of Transport ","2/44","CLDN10;REEP5",0.000876366632994734,0.0449123555906106,"GO:0051049"
"126","ACADVL","cluster_000065","#6E5E86","ACADVL","ACADVL","Cilium Assembly ","12/243","DYNC2H1;IFT88;IFT140;IFT81;DNAAF1;TCTN1;WDR19;BBS9;CFAP46;CFAP43;WDR35;ENKD1",5.1351322748735e-15,6.77837460283301e-13,"GO:0060271"
"127","ACAN","cluster_000179","#4AA955","ACAN","ACAN","Negative Regulation Of Cyclin-Dependent Protein Serine/Threonine Kinase Activity ","2/19","INCA1;CDK5RAP1",0.00031846935205505,0.0223913244007432,"GO:0045736"
"128","ACAP1","cluster_000233","#708173","ACAP1","ACAP1","Establishment Of Lymphocyte Polarity ","1/5","SCRIB",0.00648368936979889,0.0993137047537436,"GO:0001767"
"129","ACAP2","cluster_000217","#639164","ACAP2","ACAP2","Collagen Fibril Organization ","5/42","COL18A1;ADAMTS2;COL5A1;COL5A3;CYP1B1",2.03209789203819e-09,6.29950346531839e-07,"GO:0030199"
"130","ACAP3","cluster_000324","#C5635B","ACAP3","ACAP3","Regulation Of Erythrocyte Differentiation ","2/36","BRD1;ZFPM1",0.000778233041829147,0.0706736737162541,"GO:0045646"
"131","ACAT1","cluster_000560","#AA5D28","ACAT1","ACAT1","2-Oxoglutarate Metabolic Process ","2/14","PHYH;OGDH",6.15100567126949e-05,0.00578194533099332,"GO:0006103"
"132","ACAT2","cluster_000425","#FFC11A","ACAT2","ACAT2","Cellular Response To Organic Substance ","3/82","SYK;IL18;AKAP6",7.20061549773837e-05,0.00910147274714014,"GO:0071310"
"133","ACBD3","cluster_000120","#3C8B9A","ACBD3","ACBD3","Nucleotide-Excision Repair ","3/56","GTF2H2C;ERCC8;GTF2H5",8.84026474542174e-05,0.0174153215484808,"GO:0006289"
"134","ACBD4","cluster_000162","#46A169","ACBD4","ACBD4","Translational Termination ","2/8","APEH;GSPT1",5.6534016206558e-05,0.00660854403294678,"GO:0006415"
"135","ACBD5","cluster_000077","#576A9A","ACBD5","ACBD5","RNA Modification ","2/51","ANKRD16;MRM1",0.00339466542068064,0.116233761995035,"GO:0009451"
"136","ACBD6","cluster_000238","#747C78","ACBD6","ACBD6","Ubiquitin-Dependent Protein Catabolic Process ","4/367","KLHDC3;ZNRF2;GID4;KCTD21",0.00121135994953888,0.0736156723585353,"GO:0006511"
"137","ACBD7","cluster_000049","#8B4D6B","ACBD7","ACBD7","Internal Peptidyl-Lysine Acetylation ","2/39","ATAT1;KAT2A",0.00249172839958229,0.146644693514301,"GO:0018393"
"138","ACCS","cluster_000368","#F57A0E","ACCS","ACCS","Ribosomal Small Subunit Biogenesis ","2/84","WDR36;RIOK2",0.00381256561631653,0.0946903796540223,"GO:0042274"
