"","feature","cluster","col","feature_name","feature_map","enriched_Term","enriched_Overlap","enriched_Genes","enriched_P.value","enriched_Adjusted.P.value","enriched_GO"
"15","SNORD115-2","cluster_000093","#463480FF","SNORD115-2","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"16","SNORD115-4","cluster_000093","#463480FF","SNORD115-4","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"17","SNORD115-5","cluster_000093","#463480FF","SNORD115-5","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"18","SNORD115-6","cluster_000093","#463480FF","SNORD115-6","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"19","SNORD115-10","cluster_000093","#463480FF","SNORD115-10","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"20","SNORD115-11","cluster_000093","#463480FF","SNORD115-11","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"21","SNORD115-16","cluster_000093","#463480FF","SNORD115-16","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"22","SNORD115-17","cluster_000093","#463480FF","SNORD115-17","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"23","SNORD115-22","cluster_000093","#463480FF","SNORD115-22","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"24","SNORD115-25","cluster_000093","#463480FF","SNORD115-25","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"25","SNORD115-31","cluster_000093","#463480FF","SNORD115-31","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"26","SNORD115-32","cluster_000093","#463480FF","SNORD115-32","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"27","SNORD115-35","cluster_000093","#463480FF","SNORD115-35","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"28","SNORD115-37","cluster_000093","#463480FF","SNORD115-37","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"29","SNORD115-40","cluster_000093","#463480FF","SNORD115-40","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"30","SNORD115-48","cluster_000092","#463480FF","SNORD115-48","","Visual Perception ","2/101","CACNA1F;NXNL2",0.0100178506582506,0.12097145822872,"GO:0007601"
"31","PDZK1P1","cluster_000127","#404588FF","PDZK1P1","","Positive Regulation Of Peptidyl-Serine Phosphorylation Of STAT Protein ","3/17","IFNB1;IFNW1;IFNA21",1.47315687225219e-06,0.000135997514823654,"GO:0033141"
"32","SNORD115-24","cluster_000093","#463480FF","SNORD115-24","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"33","SNORD115-28","cluster_000536","#A4DB36FF","SNORD115-28","","Detection Of Chemical Stimulus Involved In Sensory Perception Of Smell ","2/139","OR13C8;OR10J5",0.0041314731025434,0.0276137062460641,"GO:0050911"
"34","SNORD115-45","cluster_000093","#463480FF","SNORD115-45","","Protein Localization To Membrane Raft ","1/5","CYP46A1",0.00747819282854126,0.0676552012782085,"GO:1903044"
"35","DDTL","cluster_000571","#CAE11FFF","DDTL","","Cellular Response To Cold ","1/5","FOXO1",0.00324605087508978,0.0567961526718064,"GO:0070417"
"36","TLX1NB","cluster_000012","#46085BFF","TLX1NB","","Type III Interferon-Mediated Signaling Pathway ","3/10","IFNL2;IFNL1;IFNL3",2.08096756771009e-06,0.000250756591909066,"GO:0038196"
"37","NAALADL1","cluster_000208","#31688EFF","NAALADL1","","Regulation Of Intracellular Signal Transduction ","3/297","AKAP13;SGMS1;PLEKHG6",0.00460688072190842,0.11325565432839,"GO:1902531"
"38","CDKN2B-AS1","cluster_000218","#2E6D8EFF","CDKN2B-AS1","","Peptide Antigen Assembly With MHC Class II Protein Complex ","2/14","HLA-DQA2;HLA-DQB2",0.000114153105118571,0.00534398285528452,"GO:0002503"
"39","GUSBP17","cluster_000014","#46095DFF","GUSBP17","","Positive Regulation Of Mitochondrial Fission ","2/19","PINK1;MUL1",0.000901016066486868,0.108768823702596,"GO:0090141"
"40","SIGLEC14","cluster_000539","#A8DB34FF","SIGLEC14","","Regulation Of Interleukin-6 Production ","2/114","PTPN6;SCIMP",0.00280240320978446,0.0677785409226939,"GO:0032675"
"41","GNPDA1","cluster_000167","#39578CFF","GNPDA1","","Amino Sugar Catabolic Process ","2/7","GNPDA1;AMDHD2",3.137939174615e-05,0.00323207734985345,"GO:0046348"
"42","KCNE3","cluster_000338","#1E9B8AFF","KCNE3","","Negative Regulation Of Delayed Rectifier Potassium Channel Activity ","2/9","KCNE3;KCNE4",3.06580619199429e-05,0.00269642127341785,"GO:1902260"
"43","ZBTB33","cluster_000286","#24878EFF","ZBTB33","","Magnesium Ion Transport ","2/11","MMGT1;MAGT1",5.74219267049387e-05,0.0107953222205285,"GO:0015693"
"44","GTF2IP4","cluster_000014","#46095DFF","GTF2IP4","","Positive Regulation Of Mitochondrial Fission ","2/19","PINK1;MUL1",0.000901016066486868,0.108768823702596,"GO:0090141"
"45","TANK","cluster_000322","#1F948CFF","TANK","","Regulation Of Defense Response ","2/97","LACC1;CASP4",0.00417860616611697,0.105380870691421,"GO:0031347"
"46","HAVCR1P1","cluster_000333","#1F998AFF","HAVCR1P1","","Alpha-Linolenic Acid Metabolic Process ","1/9","RAPSN",0.00851918580033513,0.0983885373263002,"GO:0036109"
"47","SRA1","cluster_000390","#29AF7FFF","SRA1","","NADH Dehydrogenase Complex Assembly ","2/53","NDUFAF8;NDUFB2",0.00102592087344025,0.0495045805552062,"GO:0010257"
"48","SNORD121A","cluster_000080","#472E7CFF","SNORD121A","","Positive Regulation Of Transcription Elongation By RNA Polymerase II ","2/43","CDK9;MED22",0.00201804338139322,0.0976630926820447,"GO:0032968"
"49","SNORD19B","cluster_000253","#297A8EFF","SNORD19B","","Ribosomal Small Subunit Biogenesis ","2/84","RPSA;RIOK1",0.00381256561631653,0.115933611514878,"GO:0042274"
"50","SNORD105B","cluster_000135","#3F4889FF","SNORD105B","","Positive Regulation Of Chromosome Segregation ","2/18","NCAPD3;RAD18",0.000264963084080127,0.0325904593418556,"GO:0051984"
"51","SNORD123","cluster_000549","#B2DD2DFF","SNORD123","","Hexose Import Across Plasma Membrane ","1/5","SLC2A5",0.00324605087508978,0.0342168008756164,"GO:0140271"
"52","SNORD127","cluster_000074","#472A7AFF","SNORD127","","Endocytic Recycling ","2/64","DENND1C;EHD1",0.00441521461580014,0.130040849006554,"GO:0032456"
"53","SNORD111B","cluster_000591","#E0E318FF","SNORD111B","","Positive Regulation Of Chromosome Separation ","2/13","CDCA8;NCAPH",2.56456811196791e-05,0.00105874005255253,"GO:1905820"
"54","LINC00583","cluster_000003","#440256FF","LINC00583","","Intermediate Filament Organization ","6/68","KRT33A;KRT3;KRT38;KRT26;KRT35;KRT74",2.86863030196302e-06,0.000671259490659347,"GO:0045109"
"55","SNORD58C","cluster_000285","#24868EFF","SNORD58C","","Phosphatidylinositol-Mediated Signaling ","2/62","PLCB3;ZFP36L1",0.00191163326183499,0.0924381810448478,"GO:0048015"
"56","SCARNA27","cluster_000371","#22A884FF","SCARNA27","","Regulation Of Extracellular Matrix Assembly ","1/6","SMAD3",0.00538846593898824,0.11210688495573,"GO:1901201"
"57","SNORA84","cluster_000253","#297A8EFF","SNORA84","","Ribosomal Small Subunit Biogenesis ","2/84","RPSA;RIOK1",0.00381256561631653,0.115933611514878,"GO:0042274"
"58","SNORA70B","cluster_000172","#375A8CFF","SNORA70B","","Double-Strand Break Repair Via Classical Nonhomologous End Joining ","1/5","ZBTB7A",0.00623493907047315,0.141047734276378,"GO:0097680"
"59","SNORA11B","cluster_000383","#26AD81FF","SNORA11B","","Negative Regulation Of Small GTPase Mediated Signal Transduction ","2/20","MAPKAP1;DAB2IP",0.000143962933873236,0.0382941404102807,"GO:0051058"
"60","TEC","cluster_000533","#A1DA38FF","TEC","","Negative Regulation Of Receptor-Mediated Endocytosis ","2/26","ITGAV;WDR54",0.000146463806532351,0.0232877452386439,"GO:0048261"
"61","ZGLP1","cluster_000117","#424086FF","ZGLP1","","Embryonic Limb Morphogenesis ","2/34","TFAP2A;MYH3",0.0010313326933724,0.0833267043308923,"GO:0030326"
"62","MIR298","cluster_000570","#CAE11FFF","MIR298","","Positive Regulation Of Cytokinesis ","2/39","GIPC1;ECT2",0.000285100420253275,0.0178086325700562,"GO:0032467"
"63","MIR890","cluster_000559","#BEDF26FF","MIR890","",NA,NA,NA,NA,NA,NA
"64","MIR876","cluster_000165","#39568CFF","MIR876","","Epoxygenase P450 Pathway ","2/17","CYP2B6;CYP4F2",0.000201670316023283,0.0173436471780024,"GO:0019373"
"65","MIR744","cluster_000076","#472C7AFF","MIR744","","V","2/12","DCAF1;LIG4",0.000151975440409444,0.0293312599990227,"D)J Recombination "
"66","MIR873","cluster_000277","#25838EFF","MIR873","","Vitamin Transport ","2/39","NPC1L1;SLC2A2",0.000760054588838512,0.0662078443758376,"GO:0051180"
"67","MIR374B","cluster_000121","#414187FF","MIR374B","","Monoterpenoid Metabolic Process ","1/5","CYP2C19",0.00673238988859165,0.0870679395882329,"GO:0016098"
"68","MIR301B","cluster_000007","#450458FF","MIR301B","","Triglyceride Metabolic Process ","3/45","LIPF;APOA2;PNPLA5",0.000461052636846343,0.134627369959132,"GO:0006641"
"69","MIR216B","cluster_000069","#482878FF","MIR216B","","Negative Regulation Of Blood Pressure ","2/14","NOS3;FFAR3",0.00022299126039333,0.0316647589758529,"GO:0045776"
"70","MIR920","cluster_000024","#470F62FF","MIR920","","Gamma-Aminobutyric Acid Transport ","2/6","SLC6A13;SLC6A12",5.53015772757396e-05,0.0123875533097657,"GO:0015812"
"71","MIR934","cluster_000556","#BADE28FF","MIR934","","RNA Biosynthetic Process ","1/29","TBPL2",0.0186922870807393,0.056076861242218,"GO:0032774"
"72","MIR936","cluster_000555","#B9DE28FF","MIR936","","Mitochondrion Distribution ","1/11","ATCAY",0.00712850018242009,0.104481527505879,"GO:0048311"
"73","MIR938","cluster_000411","#34B679FF","MIR938","","Regulation Of Cell-Substrate Junction Assembly ","2/21","MACF1;LDB1",0.000141451385309877,0.0111746594394802,"GO:0090109"
"74","MIR941-1","cluster_000074","#472A7AFF","MIR941-1","","Endocytic Recycling ","2/64","DENND1C;EHD1",0.00441521461580014,0.130040849006554,"GO:0032456"
"75","MIR942","cluster_000387","#27AD81FF","MIR942","","Vesicle Cytoskeletal Trafficking ","2/39","F8A1;MYO1C",0.000555802919963992,0.0783837309026106,"GO:0099518"
"76","MIR885","cluster_000305","#218E8DFF","MIR885","","Activation Of GTPase Activity ","2/102","ARHGAP42;TBC1D8",0.00460905291838391,0.0850416976902079,"GO:0090630"
"77","MIR208B","cluster_000018","#460B5EFF","MIR208B","","Adult Heart Development ","2/8","MYH6;MYH7",0.000113908840443886,0.0114856849479846,"GO:0007512"
"78","MIR891A","cluster_000024","#470F62FF","MIR891A","","Gamma-Aminobutyric Acid Transport ","2/6","SLC6A13;SLC6A12",5.53015772757396e-05,0.0123875533097657,"GO:0015812"
"79","MIR874","cluster_000263","#277E8EFF","MIR874","","Cellular Response To Alkaloid ","2/17","CACNA1S;SLC8A1",0.000141451385309877,0.011075094822127,"GO:0071312"
"80","MIR889","cluster_000370","#22A785FF","MIR889","","Gastrulation ","1/19","GSC",0.01696963087688,0.042779852315473,"GO:0007369"
"81","SNAR-F","cluster_000389","#28AE80FF","SNAR-F","","Alcohol Catabolic Process ","1/8","AKR1D1",0.0071785287204102,0.104709317141196,"GO:0046164"
"82","LOC100126784","cluster_000397","#2CB17EFF","LOC100126784","","Protein Desumoylation ","1/7","SENP5",0.0062838777740326,0.0780833612845623,"GO:0016926"
"83","EGOT","cluster_000516","#8FD744FF","EGOT","","Negative Regulation Of Tumor Necrosis Factor Production ","2/47","C5AR2;RARA",0.000483091127041069,0.0288819357204833,"GO:0032720"
"84","GHRLOS","cluster_000074","#472A7AFF","GHRLOS","","Endocytic Recycling ","2/64","DENND1C;EHD1",0.00441521461580014,0.130040849006554,"GO:0032456"
"85","SLCO4A1-AS1","cluster_000162","#3A548CFF","SLCO4A1-AS1","","Regulation Of Phagocytosis ","3/58","SIRPG;SIRPB1;TGM2",5.08702922064509e-05,0.0082918576296515,"GO:0050764"
"86","C8orf88","cluster_000375","#23A983FF","C8orf88","","Positive Regulation Of Monoatomic Ion Transmembrane Transport ","1/5","TRPC6",0.00449229270839297,0.0802507113896756,"GO:0034767"
"87","DPPA2P3","cluster_000281","#25858EFF","DPPA2P3","","Ammonium Homeostasis ","1/5","RHCE",0.00523943997247116,0.0964470635562783,"GO:0097272"
"88","PLCE1-AS1","cluster_000567","#C7E020FF","PLCE1-AS1","","Cellular Response To Growth Factor Stimulus ","3/155","MAPK7;EMD;MTSS2",0.000123332355519672,0.0191165151055492,"GO:0071363"
"89","LOC100128076","cluster_000482","#6DCD59FF","LOC100128076","","Negative Regulation Of Telomere Capping ","1/6","NBN",0.00449206839321453,0.0507063900893837,"GO:1904354"
"90","JAZF1-AS1","cluster_000097","#453681FF","JAZF1-AS1","","Negative Regulation Of Amino Acid Transport ","1/5","TRH",0.00747819282854126,0.117685938357892,"GO:0051956"
"91","HGC6.3","cluster_000266","#277F8EFF","HGC6.3","","Regulation Of Complement-Dependent Cytotoxicity ","2/9","IL4;IL13",3.76327542720922e-05,0.00899422827103003,"GO:1903659"
"92","STAU2-AS1","cluster_000274","#26828EFF","STAU2-AS1","","Copper Ion Import ","1/6","ATP7B",0.00628419133253944,0.0853402234931512,"GO:0015677"
"93","LOC100128164","cluster_000389","#28AE80FF","LOC100128164","","Alcohol Catabolic Process ","1/8","AKR1D1",0.0071785287204102,0.104709317141196,"GO:0046164"
"94","UST-AS1","cluster_000514","#8DD645FF","UST-AS1","","Protein Sulfation ","1/5","UST",0.00349539889312047,0.0495757737086578,"GO:0006477"
"95","TMPO-AS1","cluster_000293","#23898EFF","TMPO-AS1","","Ribosomal Large Subunit Biogenesis ","2/54","C1ORF109;NOC2L",0.00145394558227408,0.0682459073364465,"GO:0042273"
"96","LINC02731","cluster_000034","#481568FF","LINC02731","","Nervous System Development ","5/433","DMBX1;DLX5;B3GNT5;FN1;ZIC5",0.00100753729522806,0.127689918900726,"GO:0007399"
"97","ZNF667-AS1","cluster_000146","#3D4E8AFF","ZNF667-AS1","","Positive Regulation Of Developmental Process ","3/233","SMARCC1;DAG1;ACVR1B",0.00332952075010674,0.117553243839349,"GO:0051094"
"98","HTR5A-AS1","cluster_000011","#46075AFF","HTR5A-AS1","","Sensory Perception Of Smell ","4/230","OR2G2;OR2M7;OR10H4;OR5L1",0.00391981208343903,0.135441089531083,"GO:0007608"
"99","DNM1P35","cluster_000329","#1F978BFF","DNM1P35","","Supramolecular Fiber Organization ","3/316","TPPP3;MYO15A;COL11A2",0.00364881405196147,0.12151854210656,"GO:0097435"
"100","LOC100128288","cluster_000439","#47C16EFF","LOC100128288","","Positive Regulation Of Mitochondrial Calcium Ion Concentration ","1/8","MCUR1",0.00678090602009761,0.113442889770256,"GO:0051561"
"101","TRAPPC3L","cluster_000271","#26818EFF","TRAPPC3L","","T Cell Chemotaxis ","2/10","CXCL10;CXCL11",4.70112556271839e-05,0.00733375587784069,"GO:0010818"
"102","LINC00696","cluster_000012","#46085BFF","LINC00696","","Type III Interferon-Mediated Signaling Pathway ","3/10","IFNL2;IFNL1;IFNL3",2.08096756771009e-06,0.000250756591909066,"GO:0038196"
"103","LOC100128398","cluster_000262","#277E8EFF","LOC100128398","","Protein C-linked Glycosylation Via 2'-alpha-mannosyl-L-tryptophan ","1/5","DPY19L2",0.00523943997247116,0.0595917784053923,"GO:0018406"
"104","LINC02347","cluster_000011","#46075AFF","LINC02347","","Sensory Perception Of Smell ","4/230","OR2G2;OR2M7;OR10H4;OR5L1",0.00391981208343903,0.135441089531083,"GO:0007608"
"105","LOC100128568","cluster_000516","#8FD744FF","LOC100128568","","Negative Regulation Of Tumor Necrosis Factor Production ","2/47","C5AR2;RARA",0.000483091127041069,0.0288819357204833,"GO:0032720"
"106","C19orf71","cluster_000505","#84D44BFF","C19orf71","","Monocarboxylic Acid Metabolic Process ","3/97","GRHPR;GGT1;ACOT4",4.82332331195513e-05,0.0056432882749875,"GO:0032787"
"107","SLC8A1-AS1","cluster_000263","#277E8EFF","SLC8A1-AS1","","Cellular Response To Alkaloid ","2/17","CACNA1S;SLC8A1",0.000141451385309877,0.011075094822127,"GO:0071312"
"108","CDC42P3","cluster_000042","#481A6CFF","CDC42P3","","Monoatomic Anion Transport ","2/57","FXYD1;SLC17A4",0.00447007712992715,0.145017030953521,"GO:0006820"
"109","ACVR2B-AS1","cluster_000309","#21908DFF","ACVR2B-AS1","","Fatty Acid Catabolic Process ","2/61","FAAH;ECHDC2",0.0016781253536833,0.0889406437452149,"GO:0009062"
"110","HPN-AS1","cluster_000309","#21908DFF","HPN-AS1","","Fatty Acid Catabolic Process ","2/61","FAAH;ECHDC2",0.0016781253536833,0.0889406437452149,"GO:0009062"
"111","LINC01531","cluster_000024","#470F62FF","LINC01531","","Gamma-Aminobutyric Acid Transport ","2/6","SLC6A13;SLC6A12",5.53015772757396e-05,0.0123875533097657,"GO:0015812"
"112","LOC100128770","cluster_000039","#48186AFF","LOC100128770","","Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide ","3/65","REG1A;REG3G;PF4V1",0.000199070843508562,0.0300596973697929,"GO:0061844"
"113","LINC00476","cluster_000490","#75D054FF","LINC00476","","Positive Regulation Of Gastrulation ","1/6","SCX",0.00449206839321453,0.0685423174289334,"GO:2000543"
"114","SRRM2-AS1","cluster_000113","#433E85FF","SRRM2-AS1","","Peptidyl-Lysine Trimethylation ","2/15","FAM86B2;FAM86B1",0.000196229365545709,0.0339476802394076,"GO:0018023"
"115","GPR158-AS1","cluster_000441","#49C16DFF","GPR158-AS1","","Inorganic Cation Import Across Plasma Membrane ","2/103","SCN10A;SLC39A12",0.00339640468247174,0.0977451986665731,"GO:0098659"
"116","LINC01003","cluster_000225","#2E6F8EFF","LINC01003","","Regulation Of Dendritic Spine Development ","2/21","CAMK2B;PTPRS",0.000262144756571282,0.0387084057210509,"GO:0060998"
"117","VPS9D1-AS1","cluster_000006","#450457FF","VPS9D1-AS1","","Calcium-Independent Cell-Cell Adhesion Via Plasma Membrane Cell-Adhesion Molecules ","3/19","CLDN6;CLDN15;CLDN16",4.70028348740582e-05,0.0288127377777977,"GO:0016338"
"118","FAM66B","cluster_000113","#433E85FF","FAM66B","","Peptidyl-Lysine Trimethylation ","2/15","FAM86B2;FAM86B1",0.000196229365545709,0.0339476802394076,"GO:0018023"
"119","MAPT-AS1","cluster_000340","#1E9C89FF","MAPT-AS1","","Chloride Transmembrane Transport ","2/48","SLC12A6;GABRG1",0.000939658916365395,0.0584172740594409,"GO:1902476"
"120","LOC100128993","cluster_000022","#470E61FF","LOC100128993","","Negative Regulation Of Mast Cell Activation ","2/5","MILR1;CD300LF",3.88520160544551e-05,0.0165898108552523,"GO:0033004"
"121","PCBP3-AS1","cluster_000475","#66CB5DFF","PCBP3-AS1","","Mesodermal Cell Fate Commitment ","1/5","HOXA11",0.00374469708393798,0.0541836501414494,"GO:0001710"
"122","BCAR3-AS1","cluster_000218","#2E6D8EFF","BCAR3-AS1","","Peptide Antigen Assembly With MHC Class II Protein Complex ","2/14","HLA-DQA2;HLA-DQB2",0.000114153105118571,0.00534398285528452,"GO:0002503"
"123","KTN1-AS1","cluster_000252","#297A8EFF","KTN1-AS1","","tRNA Modification ","2/67","TYW1B;DUS3L",0.00244559755573416,0.132819024528356,"GO:0006400"
"124","LOC100129138","cluster_000021","#470D60FF","LOC100129138","","Regulation Of Hepatocyte Proliferation ","2/5","XBP1;FBXW7",3.88520160544551e-05,0.0143752459401484,"GO:2000345"
"125","LOC100129148","cluster_000075","#472B7AFF","LOC100129148","","Nephron Tubule Development ","1/5","HNF1B",0.007726694289036,0.101916014746859,"GO:0072080"
"126","ZSCAN16-AS1","cluster_000439","#47C16EFF","ZSCAN16-AS1","","Positive Regulation Of Mitochondrial Calcium Ion Concentration ","1/8","MCUR1",0.00678090602009761,0.113442889770256,"GO:0051561"
"127","MATN1-AS1","cluster_000039","#48186AFF","MATN1-AS1","","Antimicrobial Humoral Immune Response Mediated By Antimicrobial Peptide ","3/65","REG1A;REG3G;PF4V1",0.000199070843508562,0.0300596973697929,"GO:0061844"
"128","DEFB131B","cluster_000083","#472F7DFF","DEFB131B","","Positive Regulation Of Activin Receptor Signaling Pathway ","1/5","ACVR2B",0.007726694289036,0.106623175232731,"GO:0032927"
"129","LINC01160","cluster_000172","#375A8CFF","LINC01160","","Double-Strand Break Repair Via Classical Nonhomologous End Joining ","1/5","ZBTB7A",0.00623493907047315,0.141047734276378,"GO:0097680"
"130","C1orf68","cluster_000555","#B9DE28FF","C1orf68","","Mitochondrion Distribution ","1/11","ATCAY",0.00712850018242009,0.104481527505879,"GO:0048311"
"131","GABPB1-AS1","cluster_000048","#481C6EFF","GABPB1-AS1","","Nuclear Transport ","2/39","NUP210;NUP42",0.00211672060631358,0.127292482048576,"GO:0051169"
"132","FAM106C","cluster_000062","#482475FF","FAM106C","","Regulation Of Dosage Compensation By Inactivation Of X Chromosome ","1/12","KANSL1",0.0190369798873028,0.172380952982336,"GO:1900095"
"133","RPL19P12","cluster_000309","#21908DFF","RPL19P12","","Fatty Acid Catabolic Process ","2/61","FAAH;ECHDC2",0.0016781253536833,0.0889406437452149,"GO:0009062"
"134","DDC-AS1","cluster_000513","#8CD646FF","DDC-AS1","","Visual Perception ","2/101","RGS9BP;MYO7A",0.00220863546795943,0.0426938341372859,"GO:0007601"
"135","DPY19L1P1","cluster_000348","#1F9F88FF","DPY19L1P1","","Regulation Of Post-Transcriptional Gene Silencing By RNA ","1/5","XPO5",0.00474139160939957,0.10351722818408,"GO:1900368"
"136","MKRN2OS","cluster_000265","#277F8EFF","MKRN2OS","","Detection Of Chemical Stimulus Involved In Sensory Perception Of Bitter Taste ","4/41","TAS2R50;TAS2R31;TAS2R20;TAS2R14",8.86699091645686e-08,5.5944270289354e-06,"GO:0001580"
"137","ZNF37BP","cluster_000109","#433C84FF","ZNF37BP","","Negative Regulation Of Transcription By RNA Polymerase II ","5/763","TCF7L2;SUFU;ZNF566;ZNF345;IKZF5",0.0044228414135628,0.176440102626527,"GO:0000122"
"138","ETDB","cluster_000312","#21918CFF","ETDB","","Potassium Ion Homeostasis ","2/23","KCNH2;SLC12A8",0.000237344413159456,0.0164558341455841,"GO:0055075"
"139","SOD2-OT1","cluster_000114","#423F85FF","SOD2-OT1","","Heart Morphogenesis ","2/59","OLFM1;RBM20",0.00307824866090805,0.147556311199393,"GO:0003007"
"140","TEX13C","cluster_000092","#463480FF","TEX13C","","Visual Perception ","2/101","CACNA1F;NXNL2",0.0100178506582506,0.12097145822872,"GO:0007601"
"141","LOC100129534","cluster_000309","#21908DFF","LOC100129534","","Fatty Acid Catabolic Process ","2/61","FAAH;ECHDC2",0.0016781253536833,0.0889406437452149,"GO:0009062"
"142","ZNF730","cluster_000450","#51C46AFF","ZNF730","","Establishment Of Epithelial Cell Polarity ","2/19","FERMT1;SIPA1L3",0.000101790085166479,0.00885573740948364,"GO:0090162"
"143","LINC02035","cluster_000182","#355E8DFF","LINC02035","","NLS-bearing Protein Import Into Nucleus ","2/17","KPNA3;KPNA1",0.000201670316023283,0.045577491421262,"GO:0006607"
"144","FAM47E","cluster_000075","#472B7AFF","FAM47E","","Nephron Tubule Development ","1/5","HNF1B",0.007726694289036,0.101916014746859,"GO:0072080"
"145","LINC00462","cluster_000374","#23A983FF","LINC00462","","Negative Regulation Of ERK1 And ERK2 Cascade ","2/48","CNKSR3;EZR",0.000842034893446877,0.0896555009334736,"GO:0070373"
"146","LOC100129617","cluster_000139","#3E4A89FF","LOC100129617","","Intracellular Phosphate Ion Homeostasis ","1/5","GCM2",0.00648368936979889,0.0812691309984967,"GO:0030643"
"147","LOC100129620","cluster_000009","#450659FF","LOC100129620","","Sensory Perception Of Chemical Stimulus ","7/110","OR5M11;OR5M9;OR5F1;OR8J1;OR8B2;OR6C2;OR8H3",2.995270168356e-08,2.87545936162176e-06,"GO:0007606"
